Current,,,,,,,,,
,,,,,,,,,
基金名稱,年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
00877 復華中國5G,2025/11,-,-,-,-,-,-,-,-
00878 國泰永續高股息,2025/11,2303,聯電,"641,269",6.57,"29,370,112",5.11,-1.293,TW0002303005
00878 國泰永續高股息,2025/11,2454,聯發科,"16,407",5.12,"22,888,124",1.02,6.4885,TW0002454006
00878 國泰永續高股息,2025/11,2881,富邦金,"430,137",8.91,"39,830,700",3.07,1.5352,TW0002881000
00878 國泰永續高股息,2025/11,2882,國泰金,"627,379",9.01,"40,277,734",4.28,0.3123,TW0002882008
00878 國泰永續高股息,2025/11,2891,中信金,"857,029",8.33,"37,237,905",4.36,3.8231,TW0002891009
00878 國泰永續高股息,2025/11,M2300,電子工業,-,11.69,"52,258,236",-,-3.1657,
00878 國泰永續高股息,2025/11,M2800,金融業(合計),-,26.25,"117,346,339",-,1.1873,
00878 國泰永續高股息,2025/11,MTSE,國內上市,-,37.94,"169,604,575",-,-2.1495,
00878 國泰永續高股息,2025/11,TT99,基金總規模,-,-,"447,033,673",-,-,
00881 國泰台灣科技龍頭,2025/11,2308,台達電,"4,547",5.96,"4,238,121",0.18,-6.3316,TW0002308004
00881 國泰台灣科技龍頭,2025/11,2317,鴻海,"26,110",8.28,"5,887,859",0.19,-12.4272,TW0002317005
00881 國泰台灣科技龍頭,2025/11,2330,台積電,"20,158",40.82,"29,026,861",0.08,-3.9998,TW0002330008
00881 國泰台灣科技龍頭,2025/11,2383,台光電,"1,268",2.72,"1,934,176",0.35,12.1324,TW0002383007
00881 國泰台灣科技龍頭,2025/11,2454,聯發科,"3,257",6.39,"4,543,891",0.2,6.4885,TW0002454006
00881 國泰台灣科技龍頭,2025/11,M2300,電子工業,-,64.17,"45,630,908",-,-3.1657,
00881 國泰台灣科技龍頭,2025/11,MTSE,國內上市,-,64.17,"45,630,908",-,-2.1495,
00881 國泰台灣科技龍頭,2025/11,TT99,基金總規模,-,-,"71,109,410",-,-,
00882 中信中國高股息,2025/11,-,-,-,-,-,-,-,-
00885 富邦越南,2025/11,-,-,-,-,-,-,-,-
00886 永豐美國科技,2025/11,-,-,-,-,-,-,-,-
00887 永豐中國科技50大,2025/11,-,-,-,-,-,-,-,-
00888 永豐台灣ESG,2025/11,2303,聯電,"15,688",12.33,"718,505",0.13,-1.293,TW0002303005
00888 永豐台灣ESG,2025/11,2308,台達電,574,9.18,"534,945",0.02,-6.3316,TW0002308004
00888 永豐台灣ESG,2025/11,2330,台積電,"1,284",31.73,"1,848,999",0.01,-3.9998,TW0002330008
00888 永豐台灣ESG,2025/11,3711,日月光投控,"1,490",5.87,"342,062",0.03,-7.2725,TW0003711008
00888 永豐台灣ESG,2025/11,6669,緯穎,62,4.87,"283,789",0.03,4.6964,TW0006669005
00888 永豐台灣ESG,2025/11,M2300,電子工業,-,63.98,"3,728,300",-,-3.1657,
