Current,,,,,
,,,,,
基金名稱,年月,投資股數,投資比率％,持股數/流通在外股數%,個股月報酬率％
6757 台灣虎航,2025/09,"37,757",0.07,8.22,-0.85
6763 綠界科技*,2025/09,41,0,0.02,-5.4
6768 志強-KY,2025/09,"4,077",0.01,2.04,-2.39
6770 力積電,2025/09,"2,809",0,0.07,59.75
6776 展碁國際,2025/09,-,-,-,-
6781 AES-KY,2025/09,"3,672",0.1,4.3,-14.07
6782 視陽,2025/09,772,0,1.23,0
6785 昱展新藥,2025/09,-,-,-,-
6788 華景電,2025/09,49,0,0.13,-11.05
6789 采鈺,2025/09,"1,219",0.01,0.38,6.06
6790 永豐實,2025/09,-,-,-,-
6796 晉弘,2025/09,-,-,-,-
6799 來頡,2025/09,673,0,1.56,-2.36
6803 崑鼎,2025/09,-,-,-,-
6805 富世達,2025/09,"7,134",0.17,10.41,-12.63
6806 森崴能源,2025/09,125,0,0.05,1.26
6811 宏碁資訊,2025/09,100,0,0.24,-7.41
6829 千附精密,2025/09,120,0,0.2,-9.45
6830 汎銓,2025/09,-,-,-,-
6859 伯特光,2025/09,108,0,0.26,-8.24
6863 永道-KY,2025/09,223,0,0.3,-9.39
6873 泓德能源,2025/09,485,0,0.34,-16
6890 來億-KY,2025/09,154,0,0.06,-7.28
6895 宏碩系統,2025/09,-,-,-,-
6913 鴻呈,2025/09,200,0,0.46,0.37
6919 康霈*,2025/09,"18,925",0.08,1.22,-8.17
6937 天虹,2025/09,56,0,0.08,19.44
6944 兆聯實業,2025/09,836,0.01,1.1,-9.61
6957 裕慶-KY,2025/09,-,-,-,-
6960 南山產物,2025/09,-,-,-,-
6962 奕力-KY,2025/09,10,0,0,-3.2
6996 力領科技,2025/09,-,-,-,-
7556 意德士,2025/09,-,-,-,-
7712 博盛半導體,2025/09,-,-,-,-
7722 LINEPAY,2025/09,54,0,0.08,-0.89
7734 印能科技,2025/09,3,0,0.01,3.88
7749 意騰-KY,2025/09,192,0,0.41,-18.6
8008 建興電,2025/09,-,-,-,-
8011 台通,2025/09,-,-,-,-
8016 矽創,2025/09,"11,822",0.06,9.84,3.33
8017 展茂,2025/09,-,-,-,-
8019 金山,2025/09,-,-,-,-
8021 尖點,2025/09,"7,044",0.02,4.95,11.6
8024 佑華,2025/09,-,-,-,-
8027 鈦昇,2025/09,-,-,-,-
8028 昇陽半導體,2025/09,"2,687",0.01,1.54,11.46
8032 光菱,2025/09,-,-,-,-
8033 雷虎,2025/09,-,-,-,-
8034 榮群,2025/09,-,-,-,-
8038 長園科,2025/09,-,-,-,-
8039 台虹,2025/09,"1,152",0,0.44,7.73
8040 九暘,2025/09,-,-,-,-
8042 金山電,2025/09,-,-,-,-
8043 蜜望實,2025/09,-,-,-,-
8044 網家,2025/09,-,-,-,-
8045 達運光電,2025/09,-,-,-,-
8046 南電,2025/09,"9,235",0.05,1.43,2.73
8048 德勝,2025/09,-,-,-,-
8049 晶采,2025/09,-,-,-,-
8050 廣積,2025/09,287,0,0.14,-9.45
8054 安國,2025/09,65,0,0.06,0
8059 凱碩,2025/09,-,-,-,-
8064 東捷,2025/09,-,-,-,-
8066 來思達,2025/09,-,-,-,-
8069 元太,2025/09,"8,803",0.05,0.76,-8.56
8070 長華*,2025/09,"75,866",0.07,10.46,-8.5
8072 陞泰,2025/09,-,-,-,-
8074 鉅橡,2025/09,-,-,-,-
8076 伍豐,2025/09,-,-,-,-
8078 華寶,2025/09,-,-,-,-
8079 誠遠,2025/09,-,-,-,-
8080 泰霖,2025/09,-,-,-,-
8081 致新,2025/09,"1,740",0.01,2.02,0.21
8082 深耕,2025/09,-,-,-,-
8083 瑞穎,2025/09,-,-,-,-
8084 巨虹,2025/09,-,-,-,-
8085 福華,2025/09,-,-,-,-
8086 宏捷科,2025/09,815,0,0.42,2.22
8091 翔名,2025/09,167,0,0.32,-5.93
8093 保銳,2025/09,-,-,-,-
8096 擎亞,2025/09,-,-,-,-
8099 大世科,2025/09,-,-,-,-
8101 華冠,2025/09,-,-,-,-
8103 瀚荃,2025/09,-,-,-,-
8104 錸寶,2025/09,-,-,-,-
8105 凌巨,2025/09,-,-,-,-
8107 大億金茂,2025/09,-,-,-,-
8109 博大,2025/09,-,-,-,-
8110 華東,2025/09,14,0,0,29.96
8111 立碁,2025/09,-,-,-,-
8112 至上,2025/09,"54,720",0.06,10.42,3.01
8112A 至上甲特,2025/09,351,0,1.17,0.23
8114 振樺電,2025/09,374,0,0.49,-16.58
8121 越峰,2025/09,-,-,-,-
8131 福懋科,2025/09,223,0,0.05,22.12
8147 正淩,2025/09,-,-,-,-
8150 南茂,2025/09,741,0,0.1,21.15
8155 博智,2025/09,390,0,0.7,-1.91
8163 達方,2025/09,463,0,0.17,1.93
8171 天宇,2025/09,-,-,-,-
8182 加高,2025/09,-,-,-,-
8183 精星,2025/09,-,-,-,-
8199 廣鎵,2025/09,-,-,-,-
8201 無敵,2025/09,-,-,-,-
8210 勤誠,2025/09,"7,647",0.11,6.1,-2.79
8213 志超,2025/09,5,0,0,-4.52
8215 明基材,2025/09,"1,740",0,0.54,-0.21
8222 寶一,2025/09,-,-,-,-
8227 巨有科技,2025/09,-,-,-,-
8234 新漢,2025/09,-,-,-,-
8235 華亞,2025/09,-,-,-,-
8240 華宏,2025/09,-,-,-,-
8249 菱光,2025/09,-,-,-,-
8255 朋程,2025/09,"1,100",0,1.08,8.76
8261 富鼎,2025/09,46,0,0.04,9.63
8266 中日新,2025/09,-,-,-,-
8271 宇瞻,2025/09,-,-,-,-
8277 商丞,2025/09,-,-,-,-
8279 生展,2025/09,-,-,-,-
8287 英格爾,2025/09,-,-,-,-
8289 泰藝,2025/09,-,-,-,-
8299 群聯,2025/09,"25,367",0.43,12.2,44.38
8341 日友,2025/09,-,-,-,-
8349 恒耀,2025/09,-,-,-,-
8349A 恒耀甲特,2025/09,376,0,3.76,-0.65
8354 冠好,2025/09,-,-,-,-
8358 金居,2025/09,"33,442",0.19,13.24,6.67
8374 羅昇,2025/09,-,-,-,-
8383 千附,2025/09,-,-,-,-
8390 金益鼎,2025/09,-,-,-,-
8401 白紗科,2025/09,-,-,-,-
8403 盛弘,2025/09,-,-,-,-
8404 百和興業-KY,2025/09,-,-,-,-
8406 金可-KY,2025/09,-,-,-,-
8410 森田,2025/09,-,-,-,-
8411 福貞-KY,2025/09,-,-,-,-
8415 大國鋼,2025/09,-,-,-,-
8418 捷必勝-KY,2025/09,-,-,-,-
8420 明揚,2025/09,-,-,-,-
8422 可寧衛*,2025/09,442,0,0.39,1.51
8424 惠普,2025/09,-,-,-,-
8426 紅木-KY,2025/09,-,-,-,-
8427 基勝-KY,2025/09,-,-,-,-
8429 金麗-KY,2025/09,-,-,-,-
8431 匯鑽科,2025/09,-,-,-,-
8432 東生華,2025/09,-,-,-,-
8433 弘帆,2025/09,-,-,-,-
8436 大江,2025/09,"2,132",0.01,1.81,-6.43
8437 大地-KY,2025/09,-,-,-,-
8442 威宏-KY,2025/09,-,-,-,-
8444 綠河-KY,2025/09,-,-,-,-
8446 華研,2025/09,-,-,-,-
8450 霹靂,2025/09,-,-,-,-
8454 富邦媒,2025/09,369,0,0.14,-4.55
8462 柏文,2025/09,30,0,0.04,-3.25
8463 潤泰材,2025/09,-,-,-,-
8464 億豐,2025/09,"7,100",0.07,2.42,-1.85
8466 美吉吉-KY,2025/09,-,-,-,-
8467 波力-KY,2025/09,-,-,-,-
8473 山林水,2025/09,-,-,-,-
8478 東哥遊艇,2025/09,77,0,0.08,13.13
8480 泰昇-KY,2025/09,-,-,-,-
8482 商億-KY,2025/09,-,-,-,-
8489 三貝德,2025/09,-,-,-,-
8499 鼎炫-KY,2025/09,-,-,-,-
8701 正豐,2025/09,-,-,-,-
8702 羽田,2025/09,-,-,-,-
8704 大業,2025/09,-,-,-,-
8705 D 東隆,2025/09,-,-,-,-
8706 金緯,2025/09,-,-,-,-
8707 中精機,2025/09,-,-,-,-
8708 大鋼,2025/09,-,-,-,-
8709 峰安,2025/09,-,-,-,-
8710 易欣,2025/09,-,-,-,-
8711 大穎,2025/09,-,-,-,-
8712 國產車,2025/09,-,-,-,-
8713 延穎,2025/09,-,-,-,-
8714 紐新,2025/09,-,-,-,-
8715 中強,2025/09,-,-,-,-
8716 尖美,2025/09,-,-,-,-
8717 瑞圓,2025/09,-,-,-,-
8718 工礦,2025/09,-,-,-,-
8719 宏福,2025/09,-,-,-,-
8720 元富,2025/09,-,-,-,-
8721 尚鋒,2025/09,-,-,-,-
8722 尚德,2025/09,-,-,-,-
8723 順大裕,2025/09,-,-,-,-
8724 立大,2025/09,-,-,-,-
8725 三采,2025/09,-,-,-,-
8905 裕國,2025/09,-,-,-,-
8906 花王,2025/09,-,-,-,-
8907 三粹,2025/09,-,-,-,-
8908 欣雄,2025/09,-,-,-,-
8913 全銓,2025/09,-,-,-,-
8916 光隆,2025/09,-,-,-,-
8916A 光隆甲特,2025/09,-,-,-,-
8923 時報,2025/09,-,-,-,-
8924 大田,2025/09,-,-,-,-
8925 偉盟,2025/09,-,-,-,-
8926 台汽電,2025/09,"1,097",0,0.15,1.82
8927 北基,2025/09,43,0,0.01,-0.38
8928 鉅明,2025/09,-,-,-,-
8929 富堡,2025/09,-,-,-,-
8930 青鋼,2025/09,-,-,-,-
8931 大汽電,2025/09,-,-,-,-
8932 智通*,2025/09,-,-,-,-
8933 愛地雅,2025/09,-,-,-,-
8935 邦泰,2025/09,-,-,-,-
8936 國統,2025/09,86,0,0.03,-8.45
8937 合騏,2025/09,-,-,-,-
8938 明安,2025/09,-,-,-,-
8940 新天地,2025/09,-,-,-,-
8941 關中,2025/09,-,-,-,-
8942 森鉅,2025/09,-,-,-,-
8996 高力,2025/09,"4,067",0.03,4.41,-14.6
910322 康師傅-DR,2025/09,-,-,-,-
910482 聖馬丁-DR,2025/09,-,-,-,-
9105 泰金寶-DR,2025/09,-,-,-,-
9110 越南控-DR,2025/09,-,-,-,-
911616 杜康-DR,2025/09,-,-,-,-
912000 晨訊科-DR,2025/09,-,-,-,-
9136 巨騰-DR,2025/09,-,-,-,-
9151 旺旺,2025/09,-,-,-,-
9801 力霸,2025/09,-,-,-,-
9802 鈺齊-KY,2025/09,"5,007",0.01,2.49,-3.32
9902 台火,2025/09,-,-,-,-
9903 光男,2025/09,-,-,-,-
9903A 光乙特,2025/09,-,-,-,-
9904 寶成,2025/09,"318,716",0.22,10.82,0
9905 大華,2025/09,-,-,-,-
9906 欣巴巴,2025/09,-,-,-,-
9907 統一實,2025/09,"1,415",0,0.09,-2.45
9907A 統實特,2025/09,-,-,-,-
9908 大台北,2025/09,-,-,-,-
9910 豐泰,2025/09,"4,021",0.01,0.41,4.68
9911 櫻花,2025/09,621,0,0.28,-1.27
9912 偉聯,2025/09,-,-,-,-
9913 美式,2025/09,-,-,-,-
9914 美利達,2025/09,"4,023",0.01,1.35,-10.57
9915 Ｄ億豐,2025/09,-,-,-,-
9917 中保科,2025/09,"14,462",0.04,3.21,-0.45
9918 欣天然,2025/09,-,-,-,-
9919 康那香,2025/09,-,-,-,-
9921 巨大,2025/09,199,0,0.05,-9.62
9922 優美,2025/09,-,-,-,-
9924 福興,2025/09,423,0,0.22,1.24
9925 新保,2025/09,-,-,-,-
9926 新海,2025/09,-,-,-,-
9927 泰銘,2025/09,136,0,0.08,0.18
9928 中視,2025/09,-,-,-,-
9929 秋雨,2025/09,-,-,-,-
9930 中聯資源,2025/09,207,0,0.08,-0.7
9931 欣高,2025/09,-,-,-,-
9933 中鼎,2025/09,556,0,0.06,2.43
9934 成霖,2025/09,-,-,-,-
9935 慶豐富,2025/09,-,-,-,-
9936 欣錩,2025/09,-,-,-,-
9937 全國,2025/09,501,0,0.16,0
9938 百和,2025/09,"5,055",0.01,1.7,0.74
9939 宏全,2025/09,"14,181",0.04,4.79,-7.94
9940 信義,2025/09,-,-,-,-
9941 裕融,2025/09,"20,929",0.05,3.64,4.89
9941A 裕融甲特,2025/09,-,-,-,-
9942 茂順,2025/09,33,0,0.04,0.91
9943 好樂迪,2025/09,-,-,-,-
9944 新麗,2025/09,-,-,-,-
9945 潤泰新,2025/09,"32,472",0.02,1.14,-1.82
9946 三發地產,2025/09,-,-,-,-
9949 琉園,2025/09,-,-,-,-
9950 萬國通,2025/09,-,-,-,-
9951 皇田,2025/09,-,-,-,-
9955 佳龍,2025/09,-,-,-,-
9958 世紀鋼,2025/09,"4,309",0.02,1.75,-4.63
9960 邁達康,2025/09,-,-,-,-
9962 有益,2025/09,-,-,-,-
L2301 光寶,2025/09,-,-,-,-
M1100 水泥工業類指數,2025/09,-,0.27,-,4.57
M1200 食品工業類指數,2025/09,-,1.07,-,0.53
M1300 塑膠工業類指數,2025/09,-,0.19,-,-4
M1400 紡織纖維類指數,2025/09,-,0.61,-,3.08
M1500 電機機械類指數,2025/09,-,0.71,-,-1.63
M1600 電器電纜類指數,2025/09,-,0.01,-,5.11
M1700 化學生技醫療類指數,2025/09,-,0.41,-,-0.13
M1800 玻璃陶瓷類指數,2025/09,-,0,-,-20.21
M1900 造紙工業類指數,2025/09,-,0,-,0.13
M2000 鋼鐵工業類指數,2025/09,-,0.38,-,-1.56
M2100 橡膠類指數,2025/09,-,0.34,-,-3.76
M2200 汽車工業類指數,2025/09,-,0.33,-,1.03
M2300 電子類指數,2025/09,-,68.92,-,8.53
M2500 建材營造類指數,2025/09,-,0.47,-,0.19
M2600 航運業類指數,2025/09,-,3.8,-,-4.32
M2700 觀光餐旅類指數,2025/09,-,0.01,-,0.24
M2800 金融保險類指數,2025/09,-,15.54,-,5.35
M2900 貿易百貨類指數,2025/09,-,0.39,-,-1.81
M3000 證券,2025/09,-,0.11,-,-
M3200 文化創意業,2025/09,-,0.11,-,-
M3400 電子商務,2025/09,-,-,-,-
M9700 油電燃氣業指數,2025/09,-,0.03,-,1.08
M9900 其他類指數,2025/09,-,0.77,-,-2.01
T0336Y 第一金創新,2025/09,-,-,-,-
T0502Y 元多福,2025/09,-,-,-,-
T0504Y 元卓越,2025/09,-,-,-,-
T0506Y 元店頭,2025/09,-,-,-,-
T0508Y 元高科,2025/09,-,-,-,-
T0513Y 新主流,2025/09,-,-,-,-
T0567Y 元2001,2025/09,-,-,-,-
T1001Y 富邦FB,2025/09,-,-,-,-
T1201Y 華南永昌永昌,2025/09,-,-,-,-
T1249Y 華南物聯網,2025/09,-,-,-,-
T1609Y 群益馬拉松,2025/09,-,-,-,-
T1612Y 群益店頭市場,2025/09,-,-,-,-
T1614Y 群益創新科技,2025/09,-,-,-,-
T2003Y 日盛上選,2025/09,-,-,-,-
T2005Y 日盛精選五虎,2025/09,-,-,-,-
T2006Y 日盛高科技,2025/09,-,-,-,-
T2205Y FH高成,2025/09,"1,156",0.01,3.14,-
T2208Y FH數位,2025/09,-,-,-,-
T2210Y FH中小,2025/09,-,-,-,-
T2501Y 永豐永豐,2025/09,-,-,-,-
T2503Y 永豐高科技,2025/09,-,-,-,-
T2506Y 永豐中小,2025/09,-,-,-,-
T2520Y 永豐領航科技,2025/09,-,-,-,-
T3701Y 國泰國泰,2025/09,-,-,-,-
T3706Y 國泰大中華,2025/09,-,-,-,-
T3707Y 國泰科技生化,2025/09,-,-,-,-
T4720Y 台新2000高科,2025/09,-,-,-,-
