Current,,,,,
,,,,,
基金名稱,年月,投資股數,投資比率％,持股數/流通在外股數%,個股月報酬率％
2019 桂宏,2025/09,-,-,-,-
2020 美亞,2025/09,-,-,-,-
2022 聚亨,2025/09,-,-,-,-
2023 燁輝,2025/09,6,0,0,3.65
2024 志聯,2025/09,-,-,-,-
2025 千興,2025/09,-,-,-,-
2027 大成鋼,2025/09,"118,648",0.11,4.59,-1.03
2028 威致,2025/09,-,-,-,-
2029 盛餘,2025/09,-,-,-,-
2030 彰源,2025/09,-,-,-,-
2031 新光鋼,2025/09,-,-,-,-
2032 新鋼,2025/09,-,-,-,-
2033 佳大,2025/09,-,-,-,-
2034 允強,2025/09,-,-,-,-
2035 唐榮,2025/09,-,-,-,-
2038 海光,2025/09,-,-,-,-
2049 上銀,2025/09,"2,647",0.01,0.75,0.94
2059 川湖,2025/09,"7,852",0.62,8.24,8.76
2062 橋椿,2025/09,-,-,-,-
2063 世鎧,2025/09,-,-,-,-
2065 世豐,2025/09,-,-,-,-
2066 世德,2025/09,-,-,-,-
2067 嘉鋼,2025/09,-,-,-,-
2069 運錩,2025/09,-,-,-,-
2101 南港,2025/09,2,0,0,-13.71
2102 泰豐,2025/09,-,-,-,-
2103 台橡,2025/09,433,0,0.05,-5.26
2104 國際中橡,2025/09,-,-,-,-
2105 正新,2025/09,"374,483",0.34,11.55,-0.92
2106 建大,2025/09,3,0,0,-1.46
2107 厚生,2025/09,51,0,0.02,-1.04
2108 南帝,2025/09,-,-,-,-
2109 華豐,2025/09,-,-,-,-
2114 鑫永銓,2025/09,-,-,-,-
2115 六暉-KY,2025/09,-,-,-,-
2201 裕隆,2025/09,"1,100",0,0.1,5.92
2202 三富,2025/09,-,-,-,-
2204 中華,2025/09,"7,588",0.01,1.37,9.47
2206 三陽工業,2025/09,"29,238",0.04,3.69,-4.45
2207 和泰車,2025/09,"6,600",0.09,1.18,7.62
2208 台船,2025/09,-,-,-,-
2211 長榮鋼,2025/09,"3,426",0.01,0.82,8.04
2221 大甲,2025/09,-,-,-,-
2227 裕日車,2025/09,1,0,0,0
2228 劍麟,2025/09,-,-,-,-
2231 為升,2025/09,"4,240",0.01,3.12,9.63
2233 宇隆,2025/09,717,0,1.19,-20.98
2235 謚源,2025/09,-,-,-,-
2236 百達-KY,2025/09,-,-,-,-
2239 英利-KY,2025/09,-,-,-,-
2247 汎德永業,2025/09,-,-,-,-
2250 IKKA-KY,2025/09,-,-,-,-
2258 鴻華先進-創,2025/09,-,0,-,-
2301 光寶科,2025/09,"413,031",1.72,17.83,32.69
2302 麗正,2025/09,-,-,-,-
2303 聯電,2025/09,"2,882,806",3.17,22.96,12.47
2303A 聯甲特,2025/09,-,-,-,-
2304 誠洲,2025/09,-,-,-,-
2305 全友,2025/09,-,-,-,-
2306 宏電,2025/09,-,-,-,-
2308 台達電,2025/09,"94,839",1.95,3.65,20.11
2310 旭麗,2025/09,-,-,-,-
2311 日月光,2025/09,-,-,-,-
2312 金寶,2025/09,"2,585",0,0.17,3.18
2313 華通,2025/09,"12,181",0.02,1.02,-9.49
2314 台揚,2025/09,-,-,-,-
2315 神達電腦,2025/09,-,-,-,-
2316 楠梓電,2025/09,"3,527",0.01,1.93,-15.35
2317 鴻海,2025/09,"493,707",2.57,3.54,6.14
2318 佳錄,2025/09,-,-,-,-
2319 大眾,2025/09,-,-,-,-
2321 東訊,2025/09,-,-,-,-
2322 致福,2025/09,-,-,-,-
2322A 致甲特,2025/09,-,-,-,-
2323 中環,2025/09,"3,240",0,0.3,3.85
2323A 環甲特,2025/09,-,-,-,-
2324 仁寶,2025/09,"761,100",0.59,17.27,17.18
2325 矽品,2025/09,-,-,-,-
2326 亞瑟,2025/09,-,-,-,-
2327 國巨*,2025/09,"44,342",0.18,2.14,21.86
2328 廣宇,2025/09,685,0,0.13,-7.65
2329 華泰,2025/09,815,0,0.15,5.39
2330 台積電,2025/09,"580,081",18.26,2.24,12.94
2331 精英,2025/09,-,-,-,-
2332 友訊,2025/09,-,-,-,-
2333 碧悠,2025/09,-,-,-,-
2334 國豐,2025/09,-,-,-,-
2335 清三,2025/09,-,-,-,-
2336 Ｄ致伸,2025/09,-,-,-,-
2337 旺宏,2025/09,"3,332",0,0.18,24.63
2338 光罩,2025/09,2,0,0,-4.73
2339 合泰,2025/09,-,-,-,-
2340 台亞,2025/09,7,0,0,20.92
2341 英群,2025/09,-,-,-,-
2342 茂矽,2025/09,-,-,-,-
2343 精業,2025/09,-,-,-,-
2344 華邦電,2025/09,"145,472",0.12,3.23,72.84
2345 智邦,2025/09,"42,125",1.06,7.51,2.96
2347 聯強,2025/09,"260,657",0.4,15.63,-3.95
2348 海悅,2025/09,126,0,0.08,0.7
2349 錸德,2025/09,-,-,-,-
2350 環電,2025/09,-,-,-,-
2351 順德,2025/09,2,0,0,-9.35
2352 佳世達,2025/09,"6,639",0,0.34,-5.04
2353 宏碁,2025/09,"296,175",0.22,9.72,4.74
2354 鴻準,2025/09,"4,888",0.01,0.35,-1.13
2355 敬鵬,2025/09,"3,127",0,0.79,-14.15
2356 英業達,2025/09,"391,333",0.43,10.91,11.18
2357 華碩,2025/09,"124,544",2.02,16.77,6.17
2358 廷鑫,2025/09,-,-,-,-
2359 所羅門,2025/09,-,-,-,-
2360 致茂,2025/09,"22,746",0.32,5.35,-0.34
2361 鴻友,2025/09,-,-,-,-
2362 藍天,2025/09,970,0,0.16,-1.07
2363 矽統,2025/09,428,0,0.08,2.32
2364 倫飛,2025/09,104,0,0.2,-1.55
2365 昆盈,2025/09,-,-,-,-
2366 亞旭,2025/09,-,-,-,-
2367 燿華,2025/09,-,-,-,-
2368 金像電,2025/09,"54,075",0.57,10.7,-13.76
2369 菱生,2025/09,10,0,0,2.43
2370 匯僑工業,2025/09,-,-,-,-
2371 大同,2025/09,"86,641",0.08,4.03,-2.64
2373 震旦行,2025/09,2,0,0,0.7
2374 佳能,2025/09,-,-,-,-
2375 凱美,2025/09,2,0,0,34.96
2376 技嘉,2025/09,"76,965",0.56,11.49,7.94
2377 微星,2025/09,"89,641",0.25,10.61,-14.07
2378 鴻運電子,2025/09,-,-,-,-
2379 瑞昱,2025/09,"93,787",1.24,18.29,8.15
2380 虹光,2025/09,-,-,-,-
2381 華宇,2025/09,-,-,-,-
2382 廣達,2025/09,"256,108",1.79,6.63,10.48
2383 台光電,2025/09,"33,647",0.99,9.41,0.41
2384 勝華,2025/09,-,-,-,-
2385 群光,2025/09,"164,880",0.55,21.69,0
2386 國電,2025/09,-,-,-,-
2387 精元,2025/09,336,0,0.17,-1.43
2388 威盛,2025/09,321,0,0.06,-11.47
2389 世昕,2025/09,-,-,-,-
2390 云辰,2025/09,-,-,-,-
