Current,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
公司代碼,年月日,M0000 特殊 %,M1100 水泥工業 %,M1200 食品工業 %,M1300 塑膠工業 %,M1400 紡織纖維 %,M1500 電機機械 %,M1600 電器電纜 %,M1700 化學生技醫療 %,M1721 化學工業 %,M1722 生技醫療業 %,M1800 玻璃陶瓷 %,M1900 造紙工業 %,M2000 鋼鐵工業 %,M2100 橡膠工業 %,M2200 汽車工業 %,M2300 電子工業 %,M2324 半導體業 %,M2325 電腦及週邊設備業 %,M2326 光電業 %,M2327 通訊網路業 %
00965 元大航太防衛科技,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,5.75,0,0,0
00970B 新光BBB投等債20+,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00971 野村美國研發龍頭,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00972 野村日本動能高息,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009800 中信NASDAQ,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009801 中信美國創新科技,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009802 富邦旗艦50,2025/11/28,0,0,1.39,0,0.51,2.93,0,0.61,0.61,0,0,0,0,0,0.03,69.53,21.13,4.19,2.1,4.71
009803 保德信市值動能50,2025/11/28,0,0,0,0,0,0,0,0.34,0.34,0,0,0,0,0,0,79.34,51.16,4.78,1.94,0.55
009804 聯邦台精彩50,2025/11/28,0,0,1.18,1.45,0,0,0,0.49,0,0.49,0,0,0.64,0,0.53,75.81,44.65,9.55,0.65,4.08
009805 新光美國電力基建,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009806 台新標普500,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009807 台新標普科技精選,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009808 華南永昌優選50,2025/11/28,0,0.78,1.11,0,0,1,0,0.44,0,0.44,0,0,0,0.18,0,77.7,46.42,8.97,0.63,5.05
009809 富邦淨零ESG50,2025/11/28,0,0.08,0.08,0,0.93,0.48,0,0,0,0,0,0,0.08,0,0,78.53,54.34,4.36,1.47,9.98
00980A 主動野村臺灣優選,2025/11/28,0,0,0,0,0,0.71,0,0,0,0,0,0,1.06,0,0.21,61.04,16.36,10.87,1.57,6.26
00980D 聯博投等入息,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00980T 平衡凱基美TOP,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
009810 保德信全球藍籌,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009811 統一美國50,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009812 野村日本東證,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009813 貝萊德標普卓50,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00981A 主動統一台股增長,2025/11/28,0,0,0,1.39,0,0.46,0,0,0,0,0,0,0,0,0.15,80.71,15.13,18.29,0.01,5.36
00981B 第一金優選非投債,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00981D 主動中信非投等,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00981T 凱基雙核收息,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00982A 主動群益台灣強棒,2025/11/28,0,0,0,0,0.06,0.27,0,0.45,0,0.45,0,0,0,0,0,77.98,20.74,19.85,0,3.29
00982D 主動富邦動態入息,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
