Current,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
基金碼,日期,基金淨資產 (千元),A1  投資國內上市股票比例,A2  投資國內台灣存託憑證,A3  投資國內基金比例,A4  投資國內上櫃股票比例,A5  投資國內買斷債券比例,A6  投資國內RP比例,A7  國內資產證券化商品,A8  投資國內其他有價證券,A0  投資國內有價證券比例,B1  國內短期投資-短票,B2  國內短期投資-其他,B3  短期投資-一般存款,B4  短期投資-短期票券-RP,B0  國內短期投資小計,A+B 投資國內合計,C1  投資日本比例,C2  投資紐澳比例,C3  投資國外其他區域比例,C4  投資北美比例
00768B 復華20年美債,2025/10,"28,914,066",0,0,0,0,0,0,0,0,0,0,0,3.83,0,3.83,3.83,0,0,0,98.23
00769B FH中國信用債,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00770 國泰標普北美科技,2025/10,"4,586,590",0,0,0,0,0,0,0,0,0,0,0,2.04,0,2.04,2.04,0,0,0,98.6
00771 元大US高息特別股,2025/10,"245,874",0,0,0,0,0,0,0,0,0,0,0,1.13,0,1.13,1.13,0,0,0,95.79
00772B 中信高評級公司債,2025/10,"117,571,170",0,0,0,0,0.02,0,0,0,0.02,0,0,0.46,0,0.46,0.48,0.11,1.47,0,88.54
00773B 中信優先金融債,2025/10,"95,080,972",0,0,0,0,0,0,0,0,0,0,0,0.43,0,0.43,0.43,1.42,0,0,82.88
00774B 新光中國政金綠,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00774C 新光中政金綠債+R,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00775B 新光投等債15+,2025/10,"7,554,687",0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0,72.19
00776 新光ICE美國權值,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00777B 凱基AAA至A公司債,2025/10,"61,584,264",0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.06,0,0,3.15,65.38
00778B 凱基金融債20+,2025/10,"51,886,089",0,0,0,0,0,0,0,0,0,0,0,0.34,0,0.34,0.34,0,0,0,25.32
00779B 凱基美債25+,2025/10,"33,558,820",0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0,0
00780B 國泰A級金融債,2025/10,"8,825,912",0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.08,0.08,0,0,0,98.21
00781B 國泰A級科技債,2025/10,"202,145",0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.06,0,0,0,98.47
00782B 國泰A級公用債,2025/10,"541,097",0,0,0,0,0,0,0,0,0,0,0,1.72,0,1.72,1.72,0,0,0,98.57
00783 富邦中証500,2025/10,"257,446",0,0,0,0,0,0,0,0,0,0,0,0.76,0,0.76,0.76,0,0,0,0
00784B 富邦中國投等債,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00785B 富邦金融投等債,2025/10,"35,612,310",0,0,0,0,0,0.14,0,0,0.14,0,0,1.43,0,1.43,1.57,1.63,0.4,0,81.44
00786B 元大10年IG銀行債,2025/10,"1,098,326",0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.12,0.12,0,1.35,0,92.31
00787B 元大10年IG醫療債,2025/10,"519,129",0,0,0,0,0,0,0,0,0,0,0,0.24,0,0.24,0.24,0.81,0,0,91.08
00788B 元大10年IG電能債,2025/10,"1,094,833",0,0,0,0,0,0,0,0,0,0,0,0.13,0,0.13,0.13,0,0,0,97.67
00789B 復華公司債A3,2025/10,"20,415,158",0,0,0,0,0,0,0,0,0,0,0,1.55,0,1.55,1.55,0,0.5,0,91.43
00790B 復華次順位金融債,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00791B 復華信用債1-5,2025/10,"14,522,481",0,0,0,0,0,0,0,0,0,0,0,1.38,0,1.38,1.38,0,0,11.08,0
00792B 群益A級公司債,2025/10,"62,764,686",0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0,0,0,45.15
00793B 群益AAA-A醫療債,2025/10,"140,955",0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.06,0,0,0,61.66
00794B 群益7+中國政金債,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00795B 中信美國公債20年,2025/10,"55,533,893",0,0,0,0,0,0,0,0,0,0,0,0.55,0,0.55,0.55,0,0,0,98.47
00796B 中信中國債7-10,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00797B 中信中國美元IG債,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00798B 國泰中企A級債7+,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00799B 國泰A級醫療債,2025/10,"549,854",0,0,0,0,0,0,0,0,0,0,0,0.84,0,0.84,0.84,0,0,0,97.15
